,description,duration,title,url,url1
0,"
Ingrédients : pain de mie,escalope de poulet ou de rôti de porc cuit,jambon,tomate,salade,mayonnaise (quantité selon le goût),beurre à tartiner, environ 30 g,moutarde  environ 1,5 cuillère à café.Couper les...		",50 min,Sandwichs américains,/recettes/recette_sandwichs-americains_34637.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
1,"
Ingrédients : pain de mie anglais (le super moelleux blanc ou brun),escalope de poulet (ou de dinde extra fine),bacon (poitrine),tomate (en saison),avocat,oeuf dur,salade (laitue, batavia ou iceberg),mayonnaise.Faire...		",5 min,Club sandwich poulet - bacon,/recettes/recette_club-sandwich-poulet-bacon_41357.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
2,"
Ingrédients : escalope de poulet coupées en petits dés,sauce soja,huile d'olive,ail pressé,oignon très finement émincé,ciboulette ciselée,poivre,sel,tomate épépinées et coupées en petits dés,oignon très...		",25 min,Poulet mariné en sandwich frais au pain pita,/recettes/recette_poulet-marine-en-sandwich-frais-au-pain-pita_37003.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
3,"
Ingrédients : pain de mie complet,concombre (assez gros),crème fraîche épaisse,ciboulette,sel et du poivre.On prévoit 2 sandwichs par personne.Couper les tranches de pain de mie complet en diagonale, puis les...		",10 min,Sandwichs de concombre,/recettes/recette_sandwichs-de-concombre_63337.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
4,"
Ingrédients : Émietté Végétal citron & poivre mignonette Nautilus®,pain de mie aux graines ou complet,oignon rouge (l'équivalent d'¼),tomate,salade,chou blanc (l'équivalent...		",20 min,Club sandwich au coleslaw et à l’Emietté Végétal citron,/recettes/recette_club-sandwich-au-coleslaw-et-a-l-emiette-vegetal-citron_528034.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
5,"
Ingrédients : pain complet,thon au naturel,basilic,poivre,sel,tomate séchée,fromage blanc 0%,citron,poivre,sel,basilic.Préparer la sauce au fromage blanc : battre dans un bol le fromage blanc battu à 0% avec du...		",5 min,Sandwich au thon,/recettes/recette_sandwich-au-thon_26695.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
6,"
Ingrédients : pain de mie carré,saumon fumé,salade,fromage blanc,jus de citron,poivre,sel.Préparer la sauce: bien mélanger le fromage blanc et le jus de citron. Saler et poivrer.Sur chaque tranche de pain de mie,...		",3 min,Sandwich au saumon fumé,/recettes/recette_sandwich-au-saumon-fume_36942.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
7,"
Ingrédients : blanc de poulet,curry en poudre,moutarde de Dijon,oeuf,mayonnaise,baguette,salade mélangée.Faites cuire les blancs de poulet dans de l'huile. Préparer 4 oeufs cuits durs. Dans un saladier, mettez 2...		",25 min,Sandwich de Poulet et oeufs au curry,/recettes/recette_sandwich-de-poulet-et-oeufs-au-curry_32474.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
8,"
Ingrédients : pain rôtis beurrées,poulet cuit et tiède (viande blanche),tomate,bacon,laitue,mayonnaise.Un sandwich est composé de 3 tranches de pain. Voici les étapes pour 1 sandwich :Sur une tranche de pain...		",35 min,Club sandwich américain,/recettes/recette_club-sandwich-americain_41129.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
9,"
Ingrédients : Émietté Végétal citron & poivre mignonette Nautilus®,pomme de terre primeur ou pour cuisson vapeur, à l’eau,olives noires à la grecques dénoyautées,oignon rouge,persil...		",35 min,Salade de pommes de terre à l’émietté végétal,/recettes/recette_salade-de-pommes-de-terre-a-l-emiette-citron-poivre_392604.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
10,"
Ingrédients : pain de mie (spécial sandwich),mozzarella,saumon fumé,fromage frais,aneth,oeuf frais.1-Dans une casserole d'eau bouillante plonger délicatement les oeufs à l'aide d'une cuillère à soupe et les...		",25 min,Club sandwich saumon fumé-mozzarella-oeuf mollet,/recettes/recette_club-sandwich-saumon-fume-mozzarella-oeuf-mollet_167517.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
11,"
Ingrédients : escalope de poulet (250 g en tout environ),carotte et choux râpés mélangés (rayon salade en sachet),mimolette vieille, ou Gouda mi-vieux (selon votre préférence),mayonnaise maison ou toute faite (selon...		",30 min,Salade sandwich 2 en 1,/recettes/recette_salade-sandwich-2-en-1_44294.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
12,"
Ingrédients : bacon,laitue,avocat,emmental,mayonnaise,ketchup,pain de mie complet,jambon de dinde.Faites griller 8 tranches de bacon dans une poêle, sans matière grasse.Ciselez 4 feuilles de laitue.Taillez en...		",17 min,Club sandwich au bacon,/recettes/recette_club-sandwich-au-bacon_167495.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
13,"
Ingrédients : pain de mie sans croûte,fromage frais type Saint Morêt,saumon fumé,aneth,citron,salade sucrine,poivre.A l'aide d'un cercle à pâtisserie, détailler les tranches de pain de mie en ronds. Hacher...		",15 min,Sandwich cakes indivuels au saumon fumé et aux herbes,/recettes/recette_sandwich-cakse-indivuels-au-saumon-fume-et-aux-herbes_340289.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
14,"
Ingrédients : tortilla de blé,Émietté Végétal tomate & piment rouge Nautilus®,poivron rouge,avocat,oignon rouge,citron vert,tabasco,salade,crème de soja ou autre crème...		",35 min,Wraps mexicains à l’Emietté Végétal tomate,/recettes/recette_wraps-mexicains-a-l-emiette-vegetal-tomate_528037.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich
0,"
Ingrédients : baguette française,tomate,jambon,gouda jeune,salade,sauce cocktail,mayonnaise.Ouvrir la baguette en deux, étaler un peu de mayonnaise, puis ajouter la tranche de jambon. Etaler ensuite la tranche de...		",5 min,Sandwich Dagobert,/recettes/recette_sandwich-dagobert_18095.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
1,"
Ingrédients : jambon,tomate,pesto au basilic,oignon,beurre,pain de mie,chèvre (bûche),parmesan.Étalez le pesto sur la tranche de pain de mie du dessous puis faire pareil avec le confit d'oignons. N'hésitez pas sur...		",10 min,Club sandwich saveur du sud,/recettes/recette_club-sandwich-saveur-du-sud_227966.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
2,"
Ingrédients : baguette,laitue,tomate,saucisse,ail,huile d'olive,persil,coriandre,vinaigre,échalote.Faire griller la baguette. Préparation de la sauce chimichurriHacher finement l'ail et l'échalote.Ciseler le persil...		",15 min,Choripan (sandwich argentin),/recettes/recette_choripan-sandwich-argentin_345414.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
3,"
Ingrédients : parmesan (entre 1 et 3 pincées),beurre,jambon ou charcuterie italienne,poivre moulu,pain (au choix),mozzarella (au lait de vache, pas de bufflonne).Coupez un morceau de pain en 2 dans le sens de la...		",10 min,Sandwich à l'italienne,/recettes/recette_sandwich-a-l-italienne_32247.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
4,"
Ingrédients : Émietté Végétal citron & poivre mignonette Nautilus®,pain,fromage de chèvre frais 100 à 150 g,concombre,radis,pignons de pin.Faites griller le pain pendant 8 à 10...		",18 min,Tartine de fromage frais à l’émietté végétal,/recettes/recette_tartine-de-fromage-frais-a-l-emiette-de-citron_392603.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
5,"
Ingrédients : pain de mie complet,épinards frais (et bio si possible),jambon fumé,comté.Faire griller les tranches de pain de mie au grille-pain ou à la poêle. Les laisser refroidir.Bien laver les feuilles...		",15 min,Club Sandwich Épinard-jambon-comté,/recettes/recette_club-sandwich-epinard-jambon-comte_336476.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
6,"
Ingrédients : pain de campagne,tomate,ail,huile d'olive,bacon,oeuf.Couper le morceau de pain en deux. Frotter chaque partie avec la gousse d'ail coupée en deux.Imprégner le pain de tomate en pressant chaque moitié...		",7 min,Sandwich omelette tomate,/recettes/recette_sandwich-omelette-tomate_59773.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
7,"
Ingrédients : crevettes cocktail, selon vos goûts (cuites et décortiquées),concombre,tomate,oignon rouge,mesclun (quelques feuilles),mayonnaise (selon votre goût),aneth,baguette,bagel,pain italien à l'huile,pain noir...		",10 min,Sandwich baltique,/recettes/recette_sandwich-baltique_35759.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
8,"
Ingrédients : baguette,viande hachée,bacon,sauce burger,gruyère fines,ail,poivre,sel.Faites cuire à feux doux votre steak haché, salez, poivrez et un peu d'ail à votre convenance.Pendant ce temps couper un...		",17 min,Sandwich cannibale,/recettes/recette_sandwich-cannibale_227614.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
9,"
Ingrédients : Émietté Végétal tomate & piment rouge Nautilus®,courgette,crème de soja,farine de maïs,eau froide,tomate concassée,concentré de tomates,pignons,origan...		",50 min,Lasagnes de courgettes à l’Emietté Végétal tomate,/recettes/recette_lasagnes-de-courgettes-a-l-emiette-vegetal-tomate_528039.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
10,"
Ingrédients : pain de mie (blanc et bien moelleux, à l'anglaise),fromage (gruyère, emmental, cheddar...),beurre.Assembler le croque : 1 tranche de pain, 1 tranche de fromage, 1 tranche de pain. Faire chauffer une...		",6 min,Croque-Monsieur à la poêle (grilled cheese sandwich),/recettes/recette_croque-monsieur-a-la-poele-grilled-cheese-sandwich_34426.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
11,"
Ingrédients : pain long ou 1/4 de baguette au sésame,dinde aux herbes,curry (voir recette sur le site),poivre,sel,laitue.Préparer la sauce au curry. Couper la tranche de dinde en deux ou trois selon la taille du...		",45 min,Sandwich léger à la dinde,/recettes/recette_sandwich-leger-a-la-dinde_26693.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
12,"
Ingrédients : pain de mie sans croûte,pousses d'épinard,moutarde forte,fromage frais.Préchauffer le four à 180°C (thermostat 6).Déposer les tranches de pain de mie sur une plaque à four et enfourner pour 2 à 5...		",25 min,Sandwichs triangles fromage frais moutarde et épinard,/recettes/recette_sandwichs-triangles-fromage-frais-moutarde-et-epinard_311057.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
13,"
Ingrédients : pain de mie,blanc de dinde fumé,tzatziki (spécialité grecque au concombre et fromage blanc),tomate,gruyère râpé.Tartiner chaque tranche de pain avec le tzatziki ; en réserver 4. Sur les 4 qui...		",15 min,Super sandwichs de Faby,/recettes/recette_super-sandwichs-de-faby_31328.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
14,"
Ingrédients : farine T55,huile d'olive,eau,thym,fleur de sel,Émietté Végétal citron & poivre mignonette Nautilus®,oignon doux,huile d'olive,câpres,olives noires...		",1h05,Pissaladière à l’Emietté Végétal citron,/recettes/recette_pissaladiere-a-l-emiette-vegetal-citron_528046.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=12&page=2
0,"
Ingrédients : baguette,mozzarella,jambon de Parme,tomate séchée,basilic fraîches.Coupez la baguette en 2.Coupez la mozzarella en tranches assez fines.Coupez les feuilles de basilic finement.Ouvrez la baguette,...		",5 min,Sandwich frais à l'italienne,/recettes/recette_sandwich-frais-a-l-italienne_219428.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
1,"
Ingrédients : steak hachés de boeuf,baguette de pain,sauce tomate (ou Ketchup),fromage râpé,poivre,sel,huile.Faire chauffer la poêle à feu moyen avec un peu d'huile.Ensuite, y faire cuire la viande hachée...		",25 min,Le Bwenwn (sandwich steak haché fromage),/recettes/recette_le-bwenwn-sandwich-steak-hache-fromage_60759.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
2,"
Ingrédients : pousses d'épinard,pomme Golden,bacon,fromage frais (St Moret),pain de mie.Commencez par faire dorer le bacon, 1 à 2 min, au four ou à la poêle.Coupez le pain de mie en 2.Tartinez-le de St...		",6 min,Mini-sandwichs au bacon,/recettes/recette_mini-sandwichs-au-bacon_44637.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
3,"
Ingrédients : baguette bien fraîche,ail,oeuf durs,céleri cru,anchois au sel,huile d'olive.Vider puis laver à l'eau courante 1 à 2 anchois par personne (selon leur taille), bien sécher les filets ainsi obtenus....		",10 min,Sandwich Roselyne,/recettes/recette_sandwich-roselyne_224099.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
4,"
Ingrédients : Émietté Végétal tomate & piment rouge Nautilus®,tomate,courgette ronde,poivron,aubergine,romarin,thym,sel,poivre du moulin.Laver les légumes.Tailler le « chapeau »...		",45 min,Légumes farcis à l’émietté végétal de tomate et piment rouge,/recettes/recette_legumes-farcis-a-l-emiette-de-tomate-et-piment-rouge_392599.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
5,"
Ingrédients : pain de mie sans croutes,escalope de poulet,mayonnaise,salade,tomate coeur de pigeon,lard fumé,fromage,oeuf dur.Faire dorer dans une poêle l’escalope de poulet dans un peu de beurre. Saler, poivrer....		",35 min,Club sandwich poulet crudités,/recettes/recette_club-sandwich-poulet-crudites_335100.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
6,"
Ingrédients : baguette bien croustillante,tomate mûres (ou 4 petites),basilic,ail nouveau (ail frais),huile d'olive,vinaigre de vin rouge,poivre,sel.Détacher les feuilles de basilic de leurs tiges, les laver et les...		",5 min,Sandwich à la tomate et au basilic,/recettes/recette_sandwich-a-la-tomate-et-au-basilic_59108.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
7,"
Ingrédients : pain (genre pain de mie),jambon,carré frais,crème fraîche,ciboulette hachée,poivre,sel.A préparer la veille (pour le pique-nique).Mixer les tranches de jambon, les mélanger avec la crème fraîche...		",20 min,Petits sandwichs farcis au Jambon,/recettes/recette_petits-sandwichs-farcis-au-jambon_10689.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
8,"
Ingrédients : baguette (tradition, viennoise ou même du pain de mie),jambon,échalote,salade,persil,mayonnaise,poivre,sel.Hacher très fin le jambon, les échalotes, la salade et le persil(avec un hachoir électrique...		",15 min,Sandwich cess'touch,/recettes/recette_sandwich-cess-touch_45142.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
9,"
Ingrédients : Émietté Végétal tomate & piment rouge Nautilus®,tomate concassée,oignon rouge,poivron rouge,ail,origan,paprika,cumin en poudre,piment d'Espelette,huile d'olive,haricots...		",50 min,Chili sin carne à l’Emietté Végétal tomate,/recettes/recette_chili-sin-carne-a-l-emiette-vegetal-tomate_528025.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
10,"
Ingrédients : oeuf,lait,crème fraîche épaisse,concombre,pâte de curry (doux),huile d'olive,poivre du moulin,sel.Préchauffer le four à 210°C.Cassez les oeufs dans un saladier. Saler, poivrer et ajouter le lait....		",23 min,Petits sandwichs d'omelette au curry et au concombre,/recettes/recette_petits-sandwichs-d-omelette-au-curry-et-au-concombre_166790.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
11,"
Ingrédients : carré frais en petites portions,bacon,salade (coeur de laitue),tomate,gruyère ou comté,pain de mie complet.Prendre 2 tranches de pain de mie complet (carré).Etaler une petite portion de carré...		",5 min,Méga-bon sandwich au bacon,/recettes/recette_mega-bon-sandwich-au-bacon_10623.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
12,"
Ingrédients : pain de mie complet,tomate,avocat mûr,tofu nature ou aux herbes,crottin de chèvre,épinards frais,moutarde douce.Couper les ingrédients en tranches. Tartiner le pain de moutarde douce puis monter les...		",5 min,Club sandwich végétarien,/recettes/recette_club-sandwich-vegetarien_310985.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
13,"
Ingrédients : avocat,thon en boite,baguette de pain,jambon blanc.Couper l'avocat en deux, récupérer la chair, et l'écraser à l'aide d'une fourchette. Mélanger la purée d'avocat aux miettes de thon.Il n'est pas...		",10 min,Sandwich de l'été à l'Avocat  et au Thon,/recettes/recette_sandwich-de-l-ete-a-l-avocat-et-au-thon_70133.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
14,"
Ingrédients : Émietté Végétal citron & poivre mignonette Nautilus®,pomme de terre grenaille,haricots verts,concombre,tomates cerises,olives mélangées dénoyautées noires et...		",25 min,Salade fraîcheur à l’Emietté Végétal citron,/recettes/recette_salade-fraicheur-a-l-emiette-vegetal-citron_528024.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
